SETTLEMENT_TIME,ACTUAL_PRICE,FLUENCE_P50,MARKET_P50,F_DIFF_A,M_DIFF_A
04/20/20,11.01434895,11.35654845,11.40268186,1.60438644,1.89588645
04/21/20,7.45078692,9.46516095,9.49892434,3.53545943,3.81473596
04/22/20,8.40971935,9.32600919,9.21055331,2.10045686,2.32300978
04/23/20,8.38440156,7.83194576,8.19176913,1.8358159,2.13957415
04/24/20,9.20031886,9.180390541,9.87337536,1.677539339,2.15217076
04/25/20,3.15332622,5.18299826,3.53501646,2.998001063,2.985848
04/26/20,9.34551229,9.429327506,9.40834349,1.567247657,1.552954
04/27/20,9.3083121,9.64181826,9.95253347,1.29902704,1.30921143
04/28/20,3.68383531,5.709760442,4.52856368,3.357799562,3.20184299
04/29/20,12.27230196,11.75765287,11.69161761,1.44574983,1.85354297
04/30/20,5.1703791,5.845571077,5.90008164,2.066426799,2.35661154
05/01/20,5.83211509,6.218248724,5.21732859,2.159823166,2.6228152
05/02/20,9.88040625,9.666475454,8.90271791,2.239497404,2.28329164
05/03/20,13.55429885,13.9893669,13.80552125,1.72693395,2.19079122
05/04/20,13.38070328,12.8232809,12.66645603,1.66566684,2.41121675
05/05/20,6.68042721,7.584035518,8.08851611,2.332429252,2.63415178
05/06/20,2.45565835,5.118698556,3.81313303,3.669084526,3.3133578
05/07/20,5.58337619,7.757269521,1.84858594,4.043305051,8.19803865
05/08/20,6.61844639,6.95654132,7.03207396,1.62420721,2.29991099
05/09/20,4.0635153,8.4987287,-2.51837923,5.84557702,14.70008321
05/10/20,12.45156954,12.02847593,12.11383056,1.81382829,3.05833076
05/11/20,8.61864168,9.016390352,9.65919958,1.476060412,1.9850226
05/12/20,9.56122867,10.8607667,10.77384506,2.05979679,2.52585339
05/13/20,12.42257397,12.8629647,12.36652207,1.05104499,1.11454104
05/14/20,14.28411819,14.7542127,13.72161515,2.08513839,2.1419124
05/15/20,14.54557872,14.3451348,14.07721608,1.36885686,1.7579052
05/16/20,13.04104369,13.4418286,13.28046769,1.20117737,1.82283344
05/17/20,11.69930802,11.9023434,11.74735941,1.11381482,1.80731455
05/18/20,11.22687518,11.48107326,11.49316708,1.46471498,2.36411572
05/19/20,9.21760084,10.34217349,10.49542826,2.71673127,3.31901332
05/20/20,11.8140663,11.4723727,12.53041809,1.20186714,2.49747887
05/21/20,18.45124441,17.9886708,17.01463729,2.68573089,3.44243816
05/22/20,16.74109275,17.1719112,16.07844071,1.92794185,1.90497098
05/23/20,10.02358919,9.79298685,10.22213736,0.84494396,1.14541161
05/24/20,12.29286833,12.26678575,12.07531281,2.1025913,2.98930864
05/25/20,12.65253296,12.025938,12.59569568,1.40711052,2.89825394
05/26/20,11.55408114,11.66304606,11.07323832,1.73485172,2.49331846
05/27/20,15.60371692,15.3540931,14.27109911,2.20362914,3.35935231
05/28/20,17.73090354,16.4298986,16.25040936,2.28076814,3.55757444
05/29/20,8.70464292,8.802367411,8.44038882,1.361428691,2.42215696
05/30/20,5.24422404,6.684991679,4.68159375,3.013761879,3.42990185
05/31/20,8.10399482,7.35190277,7.36320103,1.36080593,1.64606079
06/01/20,9.78956026,9.97911342,10.02947951,1.12876452,1.67063735
06/02/20,10.77264432,10.64230265,10.67298391,1.10788071,1.37664583
06/03/20,13.49402711,13.4984514,13.59265606,1.56583631,2.11353609
06/04/20,18.21265532,17.5683647,15.87835888,2.91668824,4.53054182
06/05/20,17.03002701,16.3319768,15.389149,1.89650599,2.54923869
06/06/20,15.52274052,16.2365902,15.54944359,1.6260348,1.70036165
06/07/20,15.93727225,16.7051688,16.19032311,1.63872829,2.87049614
06/08/20,20.12718919,19.5535508,18.77631296,3.25165171,5.37521551
06/09/20,41.72994461,29.3641868,27.80865734,20.18116967,24.30772713
06/10/20,36.49807209,50.6437197,94.54985336,30.72900905,75.43623727
06/11/20,22.5507969,23.3512936,21.95034731,4.02230782,5.23877989
06/12/20,9.29054048,9.06134777,8.65969663,0.84991413,1.45187241
06/13/20,8.35499003,8.17136636,8.33742449,0.90778403,0.91989958
06/14/20,7.54073497,6.918124196,7.55455341,1.452760966,1.41364336
06/15/20,7.07056855,6.604116617,7.81663335,1.188220685,1.31851074
06/16/20,15.23181279,15.1009409,13.32643352,3.21930305,3.21737959
06/17/20,13.10687784,14.998687333,18.03086967,2.982129211,6.16666641
06/18/20,6.59388526,6.806520443,8.27425827,2.469159197,3.27847151
06/19/20,8.77655968,8.78269617,9.21176979,1.51191215,1.74894909
06/20/20,9.13646488,9.006972,9.27979955,0.66637906,1.05907671
06/21/20,11.05536241,10.3374917,10.78232423,1.47562049,1.98034446
06/22/20,10.68294264,10.43815878,10.55857678,1.09280728,1.55907936
06/23/20,16.43028817,15.0804869,14.04500176,3.22386769,3.68459625
06/24/20,13.83504133,14.0015676,13.03288756,1.95227369,2.78500763
06/25/20,14.75446739,14.2233285,13.43695724,2.03160683,2.48085135
06/26/20,15.39122666,15.6898757,14.43622047,2.29277636,2.28083809
06/27/20,13.705392,13.1594331,12.17716887,1.74032662,2.54390119
06/28/20,13.13370591,12.4606875,11.65982261,2.85748079,3.72133964
06/29/20,10.04333752,9.882786,9.86837782,1.4914203,1.7523142
06/30/20,9.28751213,9.48540388,9.69427207,1.14487583,2.00386686
07/01/20,9.25061055,9.14769804,8.5639678,1.72859677,2.29138191
07/02/20,10.7196099,10.5892574,10.82870168,0.8289984,1.31645664
07/03/20,12.15663563,12.1428903,12.08686441,1.88266669,2.089458
07/04/20,13.72129613,14.2187555,13.72205708,1.39121261,1.62800225
07/05/20,15.72347771,15.74737814,15.4006281,1.57453565,1.62097935
07/06/20,17.0522376,16.501252,16.30387891,2.02407876,3.26779579
07/07/20,25.44769182,25.027312,25.33274768,5.95865052,8.30210438
07/08/20,18.16672098,18.3027788,17.85006475,2.75518196,3.17060445
07/09/20,17.40677537,16.43296334,17.17797867,3.47276473,5.02269584
07/10/20,17.62662927,17.3065539,16.33520955,1.77561059,2.49520416
07/11/20,21.5362688,21.1444513,19.53092366,3.02661706,3.77738558
07/12/20,15.33658943,14.96198114,15.48965212,1.96964822,2.91290779
07/13/20,17.88880146,17.0177886,16.7042524,1.88577892,2.62499506
07/14/20,17.8779803,17.6558416,17.5718156,2.28699062,2.85460262
07/15/20,21.42200349,20.7027529,19.76786332,4.06637361,5.63381703
07/16/20,22.63961721,22.3653535,22.25555447,2.73328285,4.09259646
07/17/20,14.74198206,14.7276834,13.96970219,2.01421958,2.65676595
07/18/20,10.62122195,10.89237545,10.34299375,1.09021276,1.54900272
07/19/20,6.01100878,8.740734694,2.44576721,6.416688848,11.45084697
07/20/20,18.58817852,17.6701052,16.99274328,2.62584104,2.88922962
07/21/20,26.72850274,36.8634679,27.53535989,15.70957,7.79642379
07/22/20,25.04493616,24.9630969,22.52265093,3.83047202,6.09400941
07/23/20,17.20067415,18.16059848,19.94376647,3.71514587,5.2328036
07/24/20,16.21465327,15.8526615,15.71358729,3.07733823,4.27098286
07/25/20,18.11302652,18.1632046,18.51973187,1.99708656,2.64486567
07/26/20,19.27008174,19.4338953,18.78796017,2.95907916,4.46021223
07/27/20,13.11743556,13.4847139,13.02962977,1.77489968,2.73525113
07/28/20,20.76620911,21.0129286,18.87336191,3.84812447,3.95260746
07/29/20,17.13855658,16.47321865,15.09665047,3.30919839,3.55969479
07/30/20,19.03296892,18.7247593,17.13537405,3.22476506,3.78320493
07/31/20,14.45750604,13.7897867,13.87639459,1.75145248,2.59742455
08/01/20,11.40446387,11.00370811,11.41856757,2.04004324,2.8576629
08/02/20,14.38950415,14.1134231,14.76296513,1.49258561,2.4932238
08/03/20,11.68992915,11.612424,11.97694876,0.87958597,1.43059061
08/04/20,10.56822917,9.46681349,10.66068539,2.36594488,3.37036622
08/05/20,11.40158129,11.353097161,13.8809626,4.338091409,6.76688303
08/06/20,10.21675435,9.259178248,13.57603982,2.864677532,6.18717685
08/07/20,14.5781301,13.7479291,14.05468441,1.87519204,2.65526757
08/08/20,16.17663188,15.8381296,15.14445545,1.45992844,2.05462369
08/09/20,13.89518789,13.9366057,13.93789833,0.94083113,1.58266518
08/10/20,8.85942262,7.97097777,10.41347229,2.84405755,3.99633677
08/11/20,12.10443524,11.7322306,11.14056982,1.44865606,2.10795608
08/12/20,14.22127042,13.006334918,11.90939349,2.575733302,3.03355743
08/13/20,16.90401222,16.1943211,14.99129934,2.45206608,3.30455554
08/14/20,18.79850006,17.4268861,16.84560237,2.75340248,3.35917223
